"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"138","Prisma","X-tra viilutatud külmsuitsulõhe 100 g",3.49,34.9
"139","Prisma","Tšillidekooriga kuumsuitsulõhe kogufilee 1,2-1,5 kg",36.59,NA
"140","Prisma","Külmsuitsulõhe, viilutatud 100 g",4.39,43.9
"141","Prisma","Juustu täidisega kuumsuitsulõhe kogufilee 1,2-1,5 kg",36.59,NA
"142","Prisma","Külmsuitsulõhe, viilutatud 500 g",14.99,29.98
"143","Prisma","Lõhe lõik soolatud 150 g",5.19,34.6
"144","Prisma","Lõhe moussee 130 g",4.79,36.85
"145","Prisma","Minu lõhe omas mahlas - supikogu 240g",2.43,10.13
"146","Prisma","Coop lõhe soolvees ilma naha ja luudeta 170/130g",2.98,22.92
"147","Prisma","Coop lõhefilee, kg",15.92,19.9
"148","Prisma","Lõhetükid tomatikastmes 230g",2.69,11.7
"149","Prisma","Abba lõhepasteet 145 g",2.59,17.86
"150","Prisma","Coop lõhefilee 2x150g",7.99,26.63
"151","Prisma","Rainbow köögivilja-lõhe mahepasta 190g",1.15,6.05
"152","Prisma","HIPP PÜREE RISOT-PORG-LÕHE 190G 8K",2.08,10.95
"153","Prisma","Piltti kartulipuder lõhega lastetoit 200 g, alates 8-elukuust",1.38,7.26
"154","Prisma","Õllekrõps lõhest 50 g",2.19,43.8
"155","Prisma","Lõhesupp, 400 g",3.69,9.23
"156","Prisma","Lõheõli 300 ml",12.19,NA
"157","Prisma","Flint punase lõhemarjamaitselised kuivikud 35 g",0.45,12.86
"158","Prisma","Lõhemass külmutatud 1 kg",3.59,3.59
"159","Prisma","Latz Party Mix Mixed Grill maiuspalad kassidele veiseliha-, kanaliha- ja lõhemaitselised 60g",1.89,31.5
"160","Prisma","Vaseline Lip Therapy huulepalsam lõhenenud huultele 20g",1.59,79.5
"161","Prisma","Kapten Grant paneeritud lõhepallid formaggio juustuga 400g",3.99,9.98
"162","Prisma","Dr.Stern lõhepuljonong kanamaksaga täiendsööt kassile 100ml",1.28,NA
"163","Prisma","Eine lõhega kassidele 100g",1.29,12.9
"164","Prisma","Piltti kuskuss lõhega 190g, alates 1-eluaastast",1.58,8.32
"165","Prisma","Harmony vorst koertele lambaliha, lõhega, 800g",3.99,4.99
"166","Prisma","Koeravorst lõhega 500 g",1.38,2.76
"167","Prisma","Lily's Kitchen maiuspala kassidele lõhega 60g",2.59,43.17
"168","Prisma","Suupiste DREAMIES kassidele lõhega 60g",1.68,28
"169","Prisma","Täissööt kassidele lõhega, 100g",0.49,4.9
"170","Prisma","Närimispulgad täiskasvanud kassidele lõhega 3 x 6 g",1.58,79
"171","Prisma","Kuivtoit koertele lõhega 12kg",49.99,4.17
"172","Prisma","Koeratoit lõhega kastmes 85 G",0.78,9.18
"173","Prisma","Täissööt kassidele lõhega 85 g",0.86,10.12
"174","Prisma","Täissööt kassidele lõhega 85 g",0.85,10
"175","Prisma","PrimaCat Classic kassitoit lõhega kastmes 85g",0.88,NA
"176","Prisma","Täissööt kassidele tuunikala ja lõhega, 50g",1.38,27.6
"177","Prisma","Hau-Hau Champion eine lõhega koertele 260g",1.78,6.85
"178","Prisma","Tartare kreemjuust lõhega, 140 g",2.39,17.07
"179","Prisma","Närimispulk koertele lõhega, 12g",0.79,65.83
"180","Prisma","Carrefour närimispulgad kassidele lõhega 6*5g",0.88,29.33
"181","Prisma","Närimispulgad kassidele lõhega 18 g",1.48,82.22
"182","Prisma","PERFECT FIT Eine kassidele lõhega, Sensitive 85g",1.15,13.53
"183","Prisma","Coop kuivtoit lõhega täiskasvanud kassidele 2kg",4.98,2.49
"184","Prisma","Koeravorst linnuliha ja lõhega 500 g",2.48,4.96
"185","Prisma","Gourmet Revelations kassitoit lõhega 2x57g",1.99,17.46
"186","Prisma","Purina One Sensitive täissööt koertele lõhega 2,5kg",12.98,5.19
"187","Prisma","LÕHEFILEE, SUITSUTATUD KG",20.29,20.29
"188","Prisma","Vici paneeritud lõheburger 250g",2.29,9.16
"189","Prisma","ONE DualN steril.kassile lõhe/spirulina 750g",4.99,6.65
"190","Prisma","BF Bilanx lõhe kuivtoit täiskasvanud kassidele teraviljavaba 700 g",7.49,10.7
"191","Prisma","MUSH DUO+ lõhe-sealiha täissööt koertele, külmutatud 1 kg",4.99,4.99
"192","Prisma","Närimispulgad kassidele lõhe ja forelliga 5 tk",0.99,39.6
"193","Prisma","Carrefour Companino Vitalive kassitoit lõhe kastmes 100g",0.45,4.5
"194","Prisma","Toores täistoit koerale kanaliga, lõhe ja köögiviljadega 1kg",6.5,6.5
"195","Prisma","Kuiv koeratoit koertele lõhe, riisi ja kaeraga, 6kg",29.98,5
"196","Prisma","Lõhe-forellitort 580 g",17.99,31.02
"197","Prisma","One kiisueine Steril lõhe-porgandiga 4x85g",2.85,8.38
"198","Prisma","Kuivtoit kassidele lõhe ja täisteraviljaga 800 g",6.48,8.1
"199","Prisma","Hau-Hau Champion teraviljata maiuspala koertele lõhe ja nõgesega 200g",3.19,NA
"200","Prisma","Täissööt kassidele lõhe ja kanalihaga 85 g",0.85,10
"201","Prisma","PD lambaliha-lõhe batoon 150 g",3.88,25.87
"202","Prisma","Purina One Sterilcat kuiv kassitoit lõhe ja nisuga 750g",6.48,8.64
"203","Prisma","Latz Countryside Sensations kuivtoit kassidele lõhe ja köögiviljadega 400g",2.49,6.23
"204","Prisma","Prima Dog koeravorst lõhe ja riisiga 800g",2.65,3.31
"205","Prisma","Latz Party Mix Seaside Mix  maiuspalad kassidele lõhe-, saida-, meriforellimaitselised 60g",1.89,31.5
"206","Prisma","Dreamies Mix lõhe- ja juustumaius kassidele, 60 g",1.68,28
"207","Prisma","Täissööt kassidele lõhe ja valge kalaga 85 g",0.85,10
"208","Prisma","Pillti lastetoit kartul ja lõhe kreemjas kastmes 250 g, alates 12-elukuust",1.68,6.72
"209","Prisma","Kuivtoit kassidele lõhe, pollaki ja köögiviljaga 2 kg",7.68,3.84
"210","Prisma","FRISKIES kuiv kassitoit lõhe/tuunikala/juurvili 1kg",4.49,4.49
"211","Prisma","Lõhe-Riisi-Kaera koeratoit täiskasvanud koertele 2kg",11.48,5.74
"212","Prisma","Külmutatud lõhe kassidele ja koertele 500g",2.48,4.96
"213","Prisma","Vici lõhe supikogu 800 g",2.69,3.36
"214","Prisma","Kolmnurkvõileib lõhe ja munaga 165 g",2.89,17.52
"215","Prisma","Rainbow pasteet kassidele lõhe ja krevetidega 100g",0.49,4.9
"216","Prisma","Lõhe ampsud kassidele 60 g",0.99,16.5
"217","Barbora","Jahutatud lõhe, kg",7.99,7.99
"218","Barbora","Lõhe Teriyakikastmes RANNAKÜLA,120g",2.49,20.75
"219","Barbora","Külmutatud lõhe supisegu, 800g",2.49,3.11
"220","Barbora","K/s lõhe kõhuääred OCEAN,500g",3.19,6.38
"221","Barbora","Kuumsuits.lõhe selgroog OCEAN, kg",3.49,3.49
"222","Barbora"," Kassitoit ARDOUR lõhe-kodulinnud 4x85g",1.19,3.5
"223","Barbora","Külms.lõhe tükk nahaga OCEAN, 170g",3.79,22.29
"224","Barbora"," Kassieine PERFECT FIT lõhe-porgand 4x85g",2.99,8.79
"225","Barbora","Koeramaius PRIMADOG ribad lamba-lõhe 80g",4.49,56.13
"226","Barbora","Lõhe õlis MARINE ABC, EO 240g",2.25,9.38
"227","Barbora","Kassi kuivtoit FRISKIES lõhe, köögiv.1kg",4.99,4.99
"228","Barbora"," Kiisueine ONE Sterilcat kana lõhe 4x85g",2.99,8.8
"229","Barbora","Koera kuivt. ONE MiniDelicate lõhe1.5kg",11.99,7.99
"230","Barbora","Kuiv koerasööt PRIMADOG lõhe-kartul 3kg",21.89,7.3
"231","Barbora"," Kuiv kassit.PURINA ONE steril.lõhe 750g",4.99,6.65
"232","Barbora","Kuiv kassitoit LOVETT lõhe.spin.hern.2kg",3.79,1.9
"233","Barbora","Lõhe omas mahlas MARINE ABC, EO 240g",2.29,9.54
"234","Barbora","Lavaširullid lõhega 250g",4.49,17.96
"235","Barbora","Lõhepasteet RIO MARE, 100g",3.89,38.9
"236","Barbora"," Külm. Lõhemass VICI, 1kg",2.49,2.49
"237","Barbora","Kuumsuits.lõheribid, kg-lett",5.59,5.59
"238","Barbora","Suflee lõhefileest AVEKTRA 220g",4.29,19.5
"239","Barbora","Mini-croissant lõhega 100g",2.99,29.9
"240","Barbora","Kreemjuust TARTARE lõhega, 140g",2.49,17.79
"241","Barbora","Köögiviljasegu lõhega OVKO 190g 7k",1.49,7.84
"242","Barbora","Võileib lõhega MK, 165g",2.49,15.09
"243","Barbora"," Koeraeine PRIMADOG lõhega 260g",1.99,7.65
"244","Barbora","Külm.paneeritud lõheburger VICI, 250g",2.59,10.36
"245","Barbora"," Kassi lõhepuljong DR.STERN 100ml",0.99,NA
"246","Barbora","Lõheeine koertele HAU-HAU CHAMPION 260g",2.19,8.42
"247","Barbora","Poke kauss lõhega MK, 275g",4.29,15.6
"248","Barbora","Porg.kartulipüree lõhega HIPP 190g 4k",2.69,14.16
"249","Barbora"," Kiisueine lõhega ONE STERILCAT 4x85g",2.99,8.8
"250","Barbora","Kuiv kassisööt PRIMACAT lõhega 400g",4.79,11.98
"251","Barbora"," Kons.kassisööt LOVETT lõhega 100g",0.29,2.9
"252","Barbora","Merikapsas lõhega WELL DONE,240g",1.85,7.71
"253","Barbora","Kaaviarimääre lõhega WELL DONE 160g",2.79,17.44
"254","Barbora","Lõhefilee tomatikastmes KAIJA, 170g",2.99,17.59
"255","Barbora","Lõhesalat Mehhiko MARINE ABC, EO 240g",1.65,6.88
